user_id,segment,strategy,n_sent,n_opens,n_clicks,journey_length,avg_time_between_events_hours,recency_days,dominant_channel,first_channel,last_channel,converted,dropped_off
U00042,new_cold_customer,trigger,3,1,0,4,31.385,3.1079,social,email,social,0,1
U00043,low_engagement,trigger,1,0,0,1,0.0,1.2149,social,social,social,0,0
U00044,loyal_customer,trigger,3,0,0,3,56.4342,9.2036,email,email,email,0,0
U00045,low_engagement,fixed,1,1,0,2,0.0,12.9879,social,social,social,0,1
U00046,price_sensitive,fixed,3,0,0,3,145.5173,1.0968,social,social,ad,0,0
U00047,new_cold_customer,trigger,2,1,0,3,137.4382,3.2925,social,social,social,0,1
U00048,loyal_customer,hybrid,5,3,0,8,46.6055,1.2321,social,social,social,0,1
U00049,high_intent,trigger,6,4,0,10,25.3249,4.0385,social,social,social,0,1
U00050,low_engagement,fixed,2,1,1,4,29.4558,9.4825,social,email,social,0,1
U00051,high_intent,fixed,5,2,2,10,12.5532,7.6918,social,email,social,1,0
U00052,low_engagement,fixed,4,1,0,5,37.9214,6.3654,social,email,social,0,1
U00053,new_cold_customer,hybrid,5,1,1,7,41.7806,3.1493,social,social,social,0,1
U00054,low_engagement,trigger,2,1,0,3,50.8718,8.9161,social,email,social,0,1
U00055,new_cold_customer,fixed,4,3,0,7,49.6605,2.1641,social,social,social,0,1
U00056,loyal_customer,trigger,2,0,0,2,195.4447,3.8891,social,social,ad,0,0
U00057,new_cold_customer,fixed,5,2,1,8,24.1561,6.148,social,social,social,0,1
U00058,loyal_customer,hybrid,4,2,1,8,30.9627,1.7345,social,social,social,1,0
U00059,loyal_customer,trigger,4,3,1,9,27.012,5.7192,social,social,social,1,0
U00060,loyal_customer,fixed,3,1,0,4,73.4314,1.3342,social,social,social,0,1
U00061,low_engagement,trigger,3,0,0,3,112.3024,2.2226,social,social,social,0,0
U00062,low_engagement,trigger,3,1,0,4,43.3452,5.9725,social,social,social,0,1
U00063,new_cold_customer,hybrid,2,1,0,3,46.0922,9.5391,social,social,social,0,1
U00064,price_sensitive,fixed,3,0,0,3,103.1884,2.6121,ad,ad,social,0,0
U00065,price_sensitive,hybrid,1,0,0,1,0.0,7.7695,email,email,email,0,0
U00066,new_cold_customer,trigger,2,0,0,2,208.604,5.5883,social,social,social,0,0
U00067,new_cold_customer,hybrid,3,1,1,6,26.9992,2.4975,social,ad,email,1,0
U00068,new_cold_customer,trigger,4,2,1,7,39.9805,2.9488,social,social,social,0,1
U00069,new_cold_customer,fixed,5,1,1,7,45.6423,1.1345,social,social,social,0,1
U00070,loyal_customer,fixed,4,3,1,9,14.3377,6.5782,social,social,social,1,0
U00071,new_cold_customer,hybrid,2,1,0,3,1.0308,8.3347,social,social,email,0,1
U00072,new_cold_customer,fixed,3,1,0,4,32.2607,9.0817,social,social,social,0,1
U00073,price_sensitive,fixed,1,1,0,2,0.0,13.4963,email,email,email,0,1
U00074,loyal_customer,hybrid,5,4,1,10,35.5601,1.0465,social,social,social,0,1
U00075,low_engagement,trigger,3,2,1,6,36.3745,1.9411,social,social,social,0,1
U00076,low_engagement,fixed,4,1,0,5,56.2869,2.0149,social,social,social,0,1
U00077,new_cold_customer,hybrid,4,1,0,5,71.1205,3.0699,social,social,social,0,1
U00078,price_sensitive,hybrid,3,0,0,3,84.6188,2.7059,social,email,social,0,0
U00079,new_cold_customer,hybrid,2,0,0,2,185.9154,3.2719,ad,ad,social,0,0
U00080,loyal_customer,fixed,5,2,0,7,32.4027,6.338,email,email,offer,0,1
U00081,price_sensitive,hybrid,3,2,0,5,55.8934,5.1188,social,social,social,0,1
U00082,high_intent,trigger,7,3,2,14,23.4072,1.4374,social,email,social,1,0
U00083,new_cold_customer,hybrid,3,2,1,7,27.1382,1.9704,social,email,social,1,0
U00084,new_cold_customer,trigger,3,1,1,5,35.6263,6.2361,social,social,social,0,1
U00085,price_sensitive,trigger,3,2,0,5,49.389,4.2091,social,email,ad,0,1
U00086,low_engagement,trigger,4,1,0,5,48.1361,1.0726,social,offer,social,0,1
U00087,low_engagement,trigger,2,0,0,2,75.655,3.0128,social,social,social,0,0
U00088,low_engagement,hybrid,2,1,0,3,46.5131,4.6879,ad,ad,social,0,1
U00089,high_intent,fixed,6,5,3,16,18.9352,1.6153,social,social,social,1,0
U00090,low_engagement,fixed,4,0,0,4,34.4883,8.8565,social,social,social,0,0
U00091,high_intent,hybrid,7,5,2,15,13.2567,7.0456,social,social,social,1,0
U00092,loyal_customer,fixed,5,4,2,11,25.9805,2.214,email,social,email,0,1
U00093,high_intent,fixed,4,3,2,10,20.8409,4.5409,social,email,social,1,0
U00094,new_cold_customer,trigger,2,1,0,3,18.7395,2.2935,social,social,ad,0,1
U00095,low_engagement,fixed,2,0,0,2,150.3519,3.1466,email,email,email,0,0
U00096,high_intent,hybrid,3,1,0,4,91.4914,2.856,social,social,email,0,1
U00097,low_engagement,hybrid,1,1,1,3,0.0,3.5129,social,social,social,0,1
U00098,low_engagement,trigger,3,1,0,4,58.0218,2.2158,social,social,social,0,1
U00099,high_intent,hybrid,6,5,1,12,27.2716,1.1872,social,social,social,0,1
U00100,new_cold_customer,trigger,3,2,1,7,39.1342,4.5041,social,social,social,1,0
U00101,price_sensitive,hybrid,3,1,0,4,23.7868,4.584,social,social,social,0,1
U00102,high_intent,hybrid,7,4,2,15,22.0444,1.1424,social,email,social,1,0
U00103,new_cold_customer,hybrid,3,2,0,5,39.6714,5.3553,social,social,social,0,1
U00104,loyal_customer,hybrid,5,3,0,8,17.2861,8.7442,social,social,social,0,1
U00105,low_engagement,hybrid,1,0,0,1,0.0,8.0909,social,social,social,0,0
U00106,new_cold_customer,fixed,2,2,0,4,48.3143,8.9527,social,social,social,0,1
U00107,new_cold_customer,trigger,2,0,0,2,105.9485,6.0181,social,social,social,0,0
U00108,loyal_customer,hybrid,3,0,0,3,10.5751,10.9835,social,email,social,0,0
U00109,new_cold_customer,trigger,5,3,2,10,25.477,1.2013,social,social,social,0,1
U00110,low_engagement,fixed,4,0,0,4,66.1837,5.8178,social,email,social,0,0
U00111,new_cold_customer,fixed,3,1,0,4,84.4328,2.3453,social,social,social,0,1
U00112,low_engagement,fixed,3,2,1,6,46.5677,5.0402,social,social,social,0,1
U00113,low_engagement,trigger,1,0,0,1,0.0,12.5266,social,social,social,0,0
U00114,new_cold_customer,hybrid,4,1,0,5,78.9497,1.673,social,social,social,0,1
U00115,new_cold_customer,hybrid,2,0,0,2,220.0005,4.783,social,social,social,0,0
U00116,loyal_customer,trigger,6,4,2,12,22.2165,1.804,social,social,email,0,1
U00117,loyal_customer,fixed,2,2,1,6,26.5996,2.6087,email,email,email,1,0
U00118,new_cold_customer,fixed,4,2,1,7,35.7032,5.8813,social,social,social,0,1
U00119,new_cold_customer,trigger,4,3,0,7,28.1539,3.9742,social,social,social,0,1
U00120,price_sensitive,trigger,1,0,0,1,0.0,14.2759,social,social,social,0,0
U00121,low_engagement,fixed,1,0,0,1,0.0,9.0688,social,social,social,0,0
U00122,price_sensitive,fixed,3,0,0,3,97.4473,2.9665,social,social,ad,0,0
U00123,new_cold_customer,hybrid,4,3,0,7,27.6355,5.5526,social,social,ad,0,1
U00124,new_cold_customer,hybrid,5,3,2,10,24.3141,1.1007,social,ad,social,0,1
U00125,new_cold_customer,fixed,5,4,0,9,33.1252,1.1286,social,social,social,0,1
U00126,new_cold_customer,hybrid,4,3,0,7,42.5027,3.0039,social,social,social,0,1
U00127,new_cold_customer,trigger,5,3,0,8,34.2264,1.4232,social,social,social,0,1
U00128,high_intent,fixed,6,5,2,14,21.1518,1.8813,social,email,email,1,0
U00129,new_cold_customer,fixed,4,2,1,7,31.4405,5.8235,social,social,social,0,1
U00130,new_cold_customer,fixed,3,1,0,4,21.1145,7.5253,social,social,social,0,1
U00131,loyal_customer,hybrid,5,2,1,8,31.6192,4.4787,social,social,social,0,1
U00132,loyal_customer,fixed,5,2,0,7,43.2474,1.391,email,social,email,0,1
U00133,low_engagement,trigger,1,1,0,2,0.0,2.4263,social,social,social,0,1
U00134,new_cold_customer,trigger,2,2,0,4,66.0284,4.3029,ad,ad,social,0,1
U00135,price_sensitive,fixed,1,0,0,1,0.0,12.2263,social,social,social,0,0
U00136,low_engagement,hybrid,2,1,1,4,29.2734,5.3433,ad,social,ad,0,1
U00137,new_cold_customer,hybrid,2,1,1,4,89.1687,2.9243,social,social,email,0,1
U00138,low_engagement,hybrid,4,2,0,6,56.3783,1.1527,social,email,social,0,1
U00139,new_cold_customer,trigger,3,1,1,6,48.5293,2.7905,social,social,social,1,0
U00140,new_cold_customer,hybrid,2,1,1,4,18.3616,4.4149,email,social,email,0,1
U00141,low_engagement,hybrid,1,0,0,1,0.0,4.4569,social,social,social,0,0
U00142,new_cold_customer,trigger,4,1,0,5,54.1636,1.3557,ad,social,ad,0,1
U00143,loyal_customer,fixed,3,1,0,4,14.0807,4.3971,social,social,social,0,1
U00144,low_engagement,hybrid,2,1,0,3,7.0587,12.1663,social,social,social,0,1
U00145,loyal_customer,hybrid,6,2,1,10,25.7245,3.9366,social,email,social,1,0
U00146,low_engagement,hybrid,2,0,0,2,43.3742,11.7122,social,social,social,0,0
U00147,new_cold_customer,trigger,4,2,0,6,61.0278,1.5726,social,social,social,0,1
U00148,price_sensitive,trigger,3,0,0,3,57.6495,8.5236,email,email,ad,0,0
U00149,low_engagement,trigger,3,1,0,4,85.3933,2.2119,social,social,social,0,1
U00150,low_engagement,hybrid,1,0,0,1,0.0,14.8264,social,social,social,0,0
U00151,new_cold_customer,fixed,3,0,0,3,99.9018,1.4209,social,social,social,0,0
U00152,new_cold_customer,fixed,3,2,1,6,43.4996,5.5036,social,social,social,0,1
U00153,loyal_customer,hybrid,4,2,2,8,15.0605,2.9744,social,offer,social,0,1
U00154,loyal_customer,fixed,6,0,0,6,57.9217,1.6907,social,social,ad,0,0
U00155,high_intent,hybrid,4,3,2,10,27.3004,1.5656,social,social,email,1,0
U00156,new_cold_customer,hybrid,5,0,0,5,49.6076,2.6573,social,social,social,0,0
U00157,new_cold_customer,fixed,5,0,0,5,49.9561,3.2302,social,social,social,0,0
U00158,loyal_customer,trigger,5,1,0,6,47.0506,3.0489,email,email,social,0,1
U00159,low_engagement,trigger,4,0,0,4,47.4968,2.5052,social,social,social,0,0
U00160,new_cold_customer,trigger,4,2,1,7,35.8125,3.6957,social,social,social,0,1
U00161,loyal_customer,trigger,4,1,1,6,50.4873,3.1782,social,social,email,0,1
U00162,loyal_customer,hybrid,4,2,0,6,55.0091,2.1324,social,email,social,0,1
U00163,low_engagement,fixed,3,0,0,3,5.3589,13.1069,social,social,social,0,0
U00164,new_cold_customer,hybrid,2,0,0,2,89.6897,3.1476,social,social,social,0,0
U00165,low_engagement,fixed,4,1,1,6,32.0432,6.658,email,social,email,0,1
U00166,new_cold_customer,hybrid,4,0,0,4,57.741,1.2694,social,social,social,0,0
U00167,new_cold_customer,trigger,2,2,0,4,83.0232,3.9828,social,social,social,0,1
U00168,low_engagement,trigger,2,0,0,2,166.0539,3.5893,social,social,social,0,0
U00169,loyal_customer,trigger,4,4,2,12,12.8606,7.646,social,social,social,1,0
U00170,low_engagement,fixed,2,1,1,4,22.1305,11.8944,social,social,email,0,1
U00171,price_sensitive,fixed,2,0,0,2,258.8839,1.357,social,social,ad,0,0
U00172,low_engagement,trigger,2,0,0,2,290.7285,2.0799,ad,ad,social,0,0
U00173,low_engagement,fixed,4,1,0,5,68.8734,3.0385,social,social,social,0,1
U00174,new_cold_customer,trigger,4,3,0,7,32.533,5.6643,social,social,social,0,1
U00175,new_cold_customer,hybrid,5,3,0,8,24.2913,7.7497,social,social,social,0,1
U00176,low_engagement,hybrid,1,0,0,1,0.0,5.06,social,social,social,0,0
U00177,loyal_customer,fixed,5,2,0,7,30.5504,6.5125,social,social,social,0,1
U00178,new_cold_customer,hybrid,2,1,0,3,30.9847,4.1581,social,social,email,0,1
U00179,new_cold_customer,hybrid,2,0,0,2,287.8135,1.7259,social,social,social,0,0
U00180,new_cold_customer,fixed,3,2,0,5,40.4621,2.9644,social,social,ad,0,1
U00181,low_engagement,hybrid,2,0,0,2,106.6263,4.2938,social,social,social,0,0
U00182,high_intent,fixed,4,3,3,12,20.9326,4.0402,email,social,email,1,0
U00183,high_intent,hybrid,8,3,2,14,20.4934,2.3047,email,social,social,1,0
U00184,new_cold_customer,trigger,3,2,1,6,45.8653,1.8721,social,social,social,0,1
U00185,new_cold_customer,trigger,2,0,0,2,0.8696,12.2979,social,social,social,0,0
U00186,new_cold_customer,fixed,3,1,0,4,88.0589,3.1972,social,social,social,0,1
U00187,loyal_customer,hybrid,5,2,1,8,28.6898,6.6206,social,email,social,0,1
U00188,loyal_customer,hybrid,4,2,2,10,30.8681,2.8619,social,email,offer,1,0
U00189,loyal_customer,trigger,6,5,1,13,23.4555,1.9548,social,social,email,1,0
U00190,loyal_customer,hybrid,2,2,2,6,8.7802,3.6903,email,email,ad,0,1
U00191,new_cold_customer,trigger,2,2,0,4,64.531,2.4245,social,social,social,0,1
U00192,high_intent,trigger,3,3,3,11,9.4783,7.2578,email,email,email,1,0
U00193,price_sensitive,fixed,3,1,0,4,40.8709,1.5644,social,social,ad,0,1
U00194,new_cold_customer,fixed,5,3,2,11,18.087,6.2013,social,social,social,1,0
U00195,new_cold_customer,hybrid,4,1,0,5,54.181,1.8833,email,email,email,0,1
U00196,high_intent,trigger,6,5,2,15,22.0307,1.7819,social,social,social,1,0
U00197,low_engagement,hybrid,1,0,0,1,0.0,5.6625,social,social,social,0,0
U00198,low_engagement,fixed,3,1,0,4,62.6074,5.2833,social,social,offer,0,1
U00199,low_engagement,hybrid,2,1,0,3,97.3614,2.8721,social,social,social,0,1
U00200,low_engagement,fixed,4,0,0,4,105.9258,1.3624,social,social,social,0,0
U00201,high_intent,trigger,3,2,1,7,22.6892,7.9163,social,social,social,1,0
U00202,high_intent,trigger,4,4,3,13,12.3845,7.5987,social,social,social,1,0
U00203,new_cold_customer,trigger,4,2,0,6,36.4424,2.6944,social,ad,social,0,1
U00204,low_engagement,hybrid,2,0,0,2,155.6098,4.4814,social,social,social,0,0
U00205,low_engagement,trigger,1,0,0,1,0.0,7.2673,social,social,social,0,0
U00206,high_intent,hybrid,4,3,2,9,16.6394,3.2634,social,social,social,0,1
U00207,loyal_customer,hybrid,6,1,0,7,47.7994,3.0411,social,social,email,0,1
U00208,high_intent,fixed,6,5,3,15,17.4967,3.2733,email,email,social,1,0
U00209,new_cold_customer,hybrid,3,1,0,4,47.8871,2.0382,social,social,social,0,1
U00210,high_intent,fixed,4,0,0,4,34.1916,8.7597,social,ad,social,0,0
U00211,high_intent,trigger,7,5,4,18,14.2146,3.7161,social,email,email,1,0
U00212,loyal_customer,fixed,5,1,0,6,21.8071,2.6077,social,social,social,0,1
U00213,new_cold_customer,fixed,3,2,1,6,27.2721,4.4177,social,social,social,0,1
U00214,new_cold_customer,fixed,5,2,0,7,38.0124,2.5398,social,social,social,0,1
U00215,low_engagement,fixed,4,1,1,7,48.0329,1.668,email,social,email,1,0
U00216,loyal_customer,fixed,2,0,0,2,113.8423,5.6187,social,social,social,0,0
U00217,loyal_customer,hybrid,2,1,0,3,17.1529,3.3468,social,social,social,0,1
U00218,high_intent,trigger,7,6,3,18,14.0916,1.5336,social,social,social,1,0
U00219,new_cold_customer,hybrid,5,0,0,5,75.582,1.1655,social,email,social,0,0
U00220,new_cold_customer,hybrid,2,0,0,2,252.3834,3.2943,social,social,social,0,0
U00221,new_cold_customer,trigger,5,2,2,9,28.3439,5.2259,social,social,social,0,1
U00222,low_engagement,fixed,4,2,0,6,24.8163,8.9676,social,social,social,0,1
U00223,price_sensitive,trigger,2,1,0,3,24.3616,6.3071,social,social,social,0,1
U00224,new_cold_customer,hybrid,5,3,1,9,18.9318,1.5725,social,social,social,0,1
U00225,new_cold_customer,trigger,4,1,0,5,30.4689,6.3184,social,social,social,0,1
U00226,low_engagement,hybrid,1,0,0,1,0.0,1.1835,social,social,social,0,0
U00227,new_cold_customer,fixed,2,2,1,5,12.3863,5.7136,social,social,social,0,1
U00228,high_intent,hybrid,4,3,2,10,18.923,2.6627,social,social,social,1,0
U00229,new_cold_customer,hybrid,4,3,1,8,29.8221,3.3989,social,social,ad,0,1
U00230,loyal_customer,fixed,3,0,0,3,131.8152,2.7395,email,email,social,0,0
U00231,price_sensitive,fixed,3,0,0,3,44.7282,9.4564,email,ad,email,0,0
U00232,new_cold_customer,trigger,4,3,2,9,6.1964,12.1676,social,social,social,0,1
U00233,new_cold_customer,fixed,2,1,0,3,60.137,8.6553,social,social,social,0,1
U00234,new_cold_customer,trigger,5,1,0,6,51.6223,1.9832,social,offer,social,0,1
U00235,high_intent,trigger,3,1,0,4,31.9553,6.0347,email,email,email,0,1
U00236,low_engagement,fixed,3,1,0,4,50.6735,4.9547,social,social,social,0,1
U00237,low_engagement,hybrid,1,1,0,2,0.0,1.4645,social,social,social,0,1
U00238,new_cold_customer,hybrid,4,3,0,7,40.8285,2.2587,social,social,email,0,1
U00239,price_sensitive,trigger,1,1,0,2,0.0,6.3616,email,email,email,0,1
U00240,high_intent,fixed,3,2,0,5,25.0815,6.2948,social,social,offer,0,1
U00241,loyal_customer,hybrid,3,2,0,5,42.5139,3.4116,social,social,social,0,1
U00242,loyal_customer,hybrid,4,2,0,6,56.7127,1.0489,social,social,social,0,1
U00243,loyal_customer,trigger,3,1,0,4,55.4948,7.5943,social,social,email,0,1
U00244,low_engagement,fixed,2,0,0,2,127.6253,8.687,social,social,social,0,0
U00245,new_cold_customer,fixed,5,0,0,5,46.8602,1.5318,social,social,social,0,0
U00246,high_intent,hybrid,6,5,4,17,13.7354,4.8685,email,social,email,1,0
U00247,new_cold_customer,hybrid,2,2,0,4,56.3133,5.4166,email,email,social,0,1
U00248,new_cold_customer,hybrid,4,1,0,5,59.2901,4.178,social,social,social,0,1
U00249,new_cold_customer,fixed,2,1,0,3,77.2702,3.7972,ad,social,ad,0,1
U00250,price_sensitive,fixed,2,0,0,2,203.1275,2.5724,social,social,social,0,0
U00251,loyal_customer,hybrid,6,4,1,12,25.0599,2.9253,social,social,social,1,0
U00252,low_engagement,hybrid,4,1,0,5,82.748,1.0376,social,email,social,0,1
U00253,loyal_customer,hybrid,4,3,1,8,20.5096,3.4606,email,email,offer,0,1
U00254,high_intent,fixed,3,3,1,7,27.7714,4.777,social,social,social,0,1
U00255,loyal_customer,hybrid,2,0,0,2,57.8833,8.1938,social,social,email,0,0
U00256,loyal_customer,fixed,3,0,0,3,74.2808,6.7572,email,email,ad,0,0
U00257,new_cold_customer,trigger,3,1,0,4,27.6109,8.3975,social,social,social,0,1
U00258,low_engagement,trigger,1,1,0,2,0.0,8.8526,email,email,email,0,1
U00259,loyal_customer,hybrid,3,3,0,6,30.1671,8.4432,social,social,ad,0,1
U00260,low_engagement,fixed,2,1,1,4,23.039,7.8507,social,email,social,0,1
U00261,new_cold_customer,fixed,2,1,0,3,11.8596,2.3726,social,social,social,0,1
U00262,new_cold_customer,fixed,2,0,0,2,269.5904,2.2321,social,social,ad,0,0
U00263,price_sensitive,trigger,3,1,0,4,36.532,5.7536,email,email,email,0,1
U00264,new_cold_customer,trigger,5,2,0,7,48.4466,2.3213,social,social,social,0,1
U00265,low_engagement,trigger,4,1,0,5,74.669,1.0542,social,social,social,0,1
U00266,new_cold_customer,hybrid,2,2,0,4,8.2048,6.7541,social,social,social,0,1
U00267,new_cold_customer,fixed,3,0,0,3,73.376,3.0921,social,social,social,0,0
U00268,new_cold_customer,trigger,5,3,0,8,37.2303,2.8804,social,social,social,0,1
U00269,loyal_customer,hybrid,4,2,0,6,64.8925,1.1379,email,email,ad,0,1
U00270,new_cold_customer,hybrid,5,2,1,8,37.1773,3.102,social,social,social,0,1
U00271,new_cold_customer,fixed,2,0,0,2,75.8383,6.2768,social,social,social,0,0
U00272,new_cold_customer,hybrid,5,1,1,7,48.545,1.3744,social,social,social,0,1
U00273,new_cold_customer,trigger,2,2,1,6,3.6751,10.4365,email,social,email,1,0
U00274,low_engagement,fixed,2,1,1,4,8.5576,1.0727,social,social,social,0,1
U00275,high_intent,hybrid,4,3,1,9,24.3081,5.3942,social,social,social,1,0
U00276,new_cold_customer,fixed,3,1,0,4,97.0551,1.7824,email,email,social,0,1
U00277,loyal_customer,trigger,2,0,0,2,162.1042,4.8217,social,social,social,0,0
U00278,low_engagement,hybrid,2,1,0,3,17.1446,8.7788,social,social,email,0,1
U00279,loyal_customer,fixed,6,4,0,10,26.4092,2.3834,ad,ad,ad,0,1
U00280,new_cold_customer,fixed,3,2,0,5,20.9574,10.997,social,ad,social,0,1
U00281,low_engagement,trigger,4,0,0,4,103.5131,1.1478,social,social,social,0,0
U00282,new_cold_customer,trigger,5,4,1,10,21.6717,5.8231,social,social,social,0,1
U00283,low_engagement,hybrid,1,1,0,2,0.0,4.3879,social,social,social,0,1
U00284,high_intent,hybrid,3,2,1,7,8.8735,6.6741,social,social,social,1,0
U00285,low_engagement,hybrid,2,0,0,2,131.1259,5.6913,social,social,ad,0,0
U00286,loyal_customer,hybrid,2,1,1,5,32.1652,5.4479,ad,social,ad,1,0
U00287,high_intent,trigger,6,4,1,12,15.823,5.8172,social,offer,email,1,0
U00288,low_engagement,trigger,2,1,0,3,75.8255,5.2577,social,social,social,0,1
U00289,new_cold_customer,trigger,3,3,0,6,34.9137,2.9621,social,social,social,0,1
U00290,low_engagement,fixed,4,3,1,8,28.8142,2.5569,social,email,social,0,1
U00291,loyal_customer,hybrid,4,0,0,4,85.0587,2.1144,social,email,social,0,0
U00292,new_cold_customer,trigger,4,0,0,4,60.0879,4.8589,social,social,social,0,0
U00293,new_cold_customer,hybrid,2,2,1,5,62.3894,1.271,social,social,social,0,1
U00294,new_cold_customer,fixed,3,1,0,4,38.0009,9.8137,social,social,email,0,1
U00295,new_cold_customer,hybrid,2,2,0,4,0.3742,2.2039,ad,ad,social,0,1
U00296,new_cold_customer,fixed,3,1,1,5,29.2664,5.1472,social,social,social,0,1
U00297,loyal_customer,trigger,6,2,0,8,25.0494,4.8328,social,email,ad,0,1
U00298,loyal_customer,fixed,3,1,0,4,77.775,2.6168,email,email,ad,0,1
U00299,new_cold_customer,trigger,5,3,0,8,33.4336,3.5645,social,social,social,0,1
U00300,price_sensitive,fixed,2,0,0,2,67.3638,10.1,social,social,offer,0,0
U00301,low_engagement,hybrid,2,0,0,2,175.0717,1.8769,social,social,social,0,0
U00302,low_engagement,hybrid,4,3,0,7,31.7671,2.9344,social,email,social,0,1
U00303,loyal_customer,hybrid,5,2,2,9,23.8919,6.2832,social,social,email,0,1
U00304,new_cold_customer,hybrid,3,2,1,6,27.7246,2.4573,social,social,social,0,1
U00305,low_engagement,fixed,2,0,0,2,17.3628,1.1232,email,email,social,0,0
U00306,new_cold_customer,fixed,4,1,0,5,66.3897,3.279,social,email,ad,0,1
U00307,high_intent,trigger,7,7,6,24,12.4439,1.3609,email,email,social,1,0
U00308,new_cold_customer,hybrid,2,1,1,4,0.1028,9.3167,social,social,social,0,1
U00309,new_cold_customer,fixed,5,2,1,8,18.8047,5.8571,social,social,email,0,1
U00310,low_engagement,fixed,3,0,0,3,71.6618,2.1626,social,social,social,0,0
U00311,low_engagement,hybrid,2,1,1,4,62.0041,4.7605,social,social,social,0,1
U00312,low_engagement,fixed,3,1,0,4,59.423,2.9227,social,social,ad,0,1
U00313,loyal_customer,hybrid,5,3,2,11,33.1443,1.0182,email,email,social,1,0
U00314,low_engagement,trigger,3,2,0,5,48.8664,4.604,social,social,social,0,1
U00315,low_engagement,fixed,4,0,0,4,76.084,4.5176,social,social,social,0,0
U00316,low_engagement,hybrid,2,0,0,2,21.8131,13.0094,social,social,social,0,0
U00317,loyal_customer,hybrid,5,4,1,10,36.0941,1.0416,social,social,email,0,1
U00318,low_engagement,trigger,3,2,0,5,31.5552,5.3703,social,email,social,0,1
U00319,high_intent,fixed,5,2,0,7,32.8143,4.1541,social,email,social,0,1
