seed,strategy,messages_sent,users,open_rate,ctr,conversions,conversions_per_1000_sends,messages_per_user
55,trigger,10617,8000,0.2494,0.0472,103,9.7014,1.3271
55,hybrid,24386,8000,0.2329,0.0431,190,7.7914,3.0482
56,fixed,32000,8000,0.2401,0.047,236,7.375,4.0
56,trigger,10579,8000,0.2463,0.0478,110,10.398,1.3224
56,hybrid,24359,8000,0.2306,0.0413,188,7.7179,3.0449
57,fixed,32000,8000,0.2418,0.0472,241,7.5312,4.0
57,trigger,10593,8000,0.2479,0.0481,113,10.6674,1.3241
57,hybrid,24399,8000,0.2301,0.0417,191,7.8282,3.0499
58,fixed,32000,8000,0.2417,0.0472,237,7.4062,4.0
58,trigger,10592,8000,0.2474,0.0472,109,10.2908,1.324
58,hybrid,24356,8000,0.232,0.043,189,7.7599,3.0445
59,fixed,32000,8000,0.2433,0.0465,222,6.9375,4.0
59,trigger,10628,8000,0.2493,0.0481,113,10.6323,1.3285
59,hybrid,24367,8000,0.2333,0.0431,200,8.2078,3.0459
60,fixed,32000,8000,0.2418,0.0481,233,7.2812,4.0
60,trigger,10579,8000,0.2459,0.0489,111,10.4925,1.3224
60,hybrid,24342,8000,0.2314,0.043,202,8.2984,3.0428
61,fixed,32000,8000,0.2413,0.0466,235,7.3438,4.0
61,trigger,10574,8000,0.2454,0.0477,108,10.2137,1.3218
61,hybrid,24319,8000,0.2279,0.0416,189,7.7717,3.0399
62,fixed,32000,8000,0.243,0.0478,234,7.3125,4.0
62,trigger,10623,8000,0.2497,0.0479,111,10.449,1.3279
62,hybrid,24382,8000,0.2306,0.0426,196,8.0387,3.0478
63,fixed,32000,8000,0.242,0.0472,227,7.0938,4.0
63,trigger,10574,8000,0.2459,0.048,107,10.1192,1.3218
63,hybrid,24347,8000,0.2289,0.0423,189,7.7628,3.0434
64,fixed,32000,8000,0.2425,0.0468,239,7.4688,4.0
64,trigger,10584,8000,0.2463,0.0485,114,10.771,1.323
64,hybrid,24314,8000,0.2305,0.0427,202,8.308,3.0392
65,fixed,32000,8000,0.241,0.0477,223,6.9688,4.0
65,trigger,10603,8000,0.2481,0.0504,112,10.563,1.3254
65,hybrid,24396,8000,0.2302,0.0434,197,8.0751,3.0495
66,fixed,32000,8000,0.2435,0.048,229,7.1562,4.0
66,trigger,10626,8000,0.2493,0.0479,106,9.9755,1.3282
66,hybrid,24405,8000,0.232,0.0429,181,7.4165,3.0506
67,fixed,32000,8000,0.2416,0.0474,234,7.3125,4.0
67,trigger,10588,8000,0.2473,0.0479,114,10.7669,1.3235
67,hybrid,24315,8000,0.2314,0.0433,199,8.1842,3.0394
68,fixed,32000,8000,0.2416,0.0475,224,7.0,4.0
68,trigger,10591,8000,0.247,0.0482,108,10.1973,1.3239
68,hybrid,24360,8000,0.231,0.0429,197,8.087,3.045
69,fixed,32000,8000,0.2433,0.0485,227,7.0938,4.0
69,trigger,10620,8000,0.2494,0.0493,116,10.9228,1.3275
69,hybrid,24424,8000,0.2325,0.044,211,8.639,3.053
70,fixed,32000,8000,0.2437,0.0481,232,7.25,4.0
70,trigger,10620,8000,0.2493,0.0497,120,11.2994,1.3275
70,hybrid,24395,8000,0.2314,0.0437,203,8.3214,3.0494
71,fixed,32000,8000,0.2417,0.0468,223,6.9688,4.0
71,trigger,10587,8000,0.2464,0.0475,106,10.0123,1.3234
71,hybrid,24384,8000,0.2318,0.043,194,7.956,3.048
